results,dba_name,license_number,inspection_date,facility_type,risk,zip,latitude,longitude,v_cumsum,v_cumsum_cs
Pass,"BILLY GOAT IV, INC.",2590104,12/08/2022,Restaurant,1,60638,41.789329323265385,-87.74164564419637,2,0
Pass,ASTER HALL,2589784,12/08/2022,Restaurant,1,60611,41.89924859703626,-87.62427497820545,5,2
Pass,PEACE & ED COALITION  (BIG PICTURE),1982027,12/08/2022,School,2,60609,41.80353157201608,-87.66741489595086,1,0
Fail,"FALAFEL DREAM, INC.",2437219,12/08/2022,Restaurant,1,60634,41.95225488946834,-87.80739690900613,21,1
Fail,GARY COMER COLLEGE PREP MIDDLE SCHOOL,2845653,12/08/2022,School,2,60619,41.76422335069556,-87.6001716518728,5,2
Pass,MAYA'S NAYARIT INC,2786818,12/08/2022,Restaurant,1,60639,41.92449645094012,-87.73488884007521,19,3
Pass,SEAFOOD JUNCTION # 4 INC.,2427618,12/08/2022,Restaurant,1,60619,41.73671549534606,-87.59222787121405,10,0
Pass,SWEET TREATS CHICAGO,2857250,12/08/2022,Restaurant,2,60609,41.80766764631011,-87.66480188845371,3,0
Fail,BUY LOW FOOD & LIQUOR,1969368,12/08/2022,Grocery Store,3,60620,41.73593936167209,-87.64533317498139,13,0
Fail,DELICIAS MEXICANA RESTAURANT,2164181,12/08/2022,Restaurant,1,60623,41.84430121435094,-87.72904239421526,8,2
Fail,JIBEK JOLU,1904287,12/08/2022,Restaurant,1,60625,41.973138498068,-87.69131446418885,6,3
Pass,DOLLOP COFFEE,2446485,12/08/2022,Restaurant,2,60606,41.88309915782265,-87.63460036317278,1,0
Pass,Ciao! Cafe,1616967,12/08/2022,Restaurant,1,60607,41.88160518844163,-87.65118534061985,0,0
Fail,Deneen,22931,12/08/2022,School,1,60619,41.76250358684519,-87.62338156210278,4,1
Pass,SLICE FACTORY,2845656,12/08/2022,Restaurant,2,60609,41.830619099685535,-87.66498111376346,6,0
Fail,DuBois,26601,12/08/2022,School,1,60827,41.65376037450995,-87.61434155910457,7,2
Fail,STARBUCKS,2247250,12/08/2022,Restaurant,2,60601,41.88462378463585,-87.62047604442976,1,1
Pass,WINGSTOP,2622058,12/08/2022,Restaurant,1,60616,41.831301728075424,-87.61469276346779,32,10
Pass,NUKI SUSHI RESTAURANT,2808985,12/08/2022,Restaurant,1,60642,41.891134354832175,-87.66259145212551,3,0
Pass,AUNTIE ANNE'S,2627666,12/08/2022,Restaurant,2,60601,41.88454011059238,-87.62430852246028,2,0
Fail,GREYHOUND LINES INC,29445,12/08/2022,Restaurant,1,60607,41.87446342373848,-87.643815926751,3,2
Fail,BIAN,2744749,12/08/2022,Restaurant,1,60654,41.89658519119955,-87.64299618172501,11,5
Pass,PHILLY'S BEST,1909742,12/08/2022,Restaurant,1,60661,41.877843584048115,-87.6467818341113,22,3
Pass,REMEDY AT AON CENTER,2657694,12/08/2022,Restaurant,2,60601,41.8846320757672,-87.6222479910888,18,4
Fail,INSTITUTO JUSTICE AND LEADERSHIP ACADEMY,3910452,12/08/2022,School,2,60608,41.84547683765483,-87.6840650592531,4,2
Fail,THE CASINO,43074,12/08/2022,Restaurant,1,60611,41.89912975487273,-87.62214332107979,2,0
Fail,ROUTE 66 PIZZA,1798526,12/08/2022,Restaurant,2,60617,41.71011639743625,-87.53255649991658,7,3
Pass,PTCI EXPRESS,2872393,12/08/2022,Restaurant,1,60647,41.91052042419102,-87.68142667380951,7,3
Pass,"ARAMARK EDUCATIONAL SERVICES, INC",1165799,12/08/2022,Restaurant,1,60611,41.89742660194131,-87.62711022579533,3,1
Pass,"TAQUERIA EL POTOSI,INC.",1124128,12/08/2022,Restaurant,1,60618,41.94867609969255,-87.71205960470682,4,1
Fail,MUSEUM KITCHEN,2845503,12/08/2022,Restaurant,1,60637,41.79142028209799,-87.58014776868883,10,3
Pass,SANOS PIZZERIA,3663,12/08/2022,Restaurant,1,60630,41.96799424187085,-87.74064316006319,1,0
Fail,LOCAL FOODS,2404837,12/08/2022,Grocery Store,1,60642,41.91428779519858,-87.66281790988793,15,1
Pass,JALEO,2786724,12/08/2022,Restaurant,1,60654,41.89086223772983,-87.63125333127317,9,2
Pass,POLARIS CHARTER ACADEMY,1980707,12/08/2022,School,1,60624,41.8925599831786,-87.7078335192439,4,0
Fail,WEST RIVER CAFE,1646219,12/08/2022,Restaurant,1,60625,41.961225358561954,-87.70839694891846,7,2
Pass,GUAPO TACO,2397586,12/08/2022,Restaurant,1,60632,41.808531901131886,-87.68559060232674,17,1
Fail,SINYA MEDITERRANEAN,2882064,12/08/2022,Restaurant,2,60651,41.895317295733214,-87.71991033903008,4,1
Fail,Revere,25121,12/08/2022,School,2,60619,41.76422335069556,-87.6001716518728,5,2
Pass,260 SPORTS BAR,1992036,12/09/2010,Restaurant,3,60616,41.84560337224738,-87.63409152264352,0,0
Pass,TACO BURRITO KING,2065146,12/09/2010,Restaurant,1,60656,41.981149750498034,-87.8068092983915,16,3
Pass,REGGIO'S PIZZA EXPRESS,1120626,12/09/2014,Restaurant,1,60666,42.008536400868735,-87.91442843927047,0,0
Fail,LAVASH,2333848,12/09/2014,Restaurant,1,60661,41.883052886559646,-87.64468860442474,12,6
Pass,MCDONALDS,1679820,12/09/2021,Restaurant,2,60625,41.96438752863507,-87.70849247844104,0,0
Pass,CHICAGO JESUIT ACADEMY,1878479,12/09/2022,School,1,60644,41.87681001637481,-87.75169371208456,2,0
Pass,"LA BAGUETTE NORTH, INC.",1649172,12/09/2022,Bakery,2,60660,41.98582638690386,-87.66944490647182,18,3
Pass,SHELL,2882303,12/09/2022,Grocery Store,3,60609,41.79505632639168,-87.63194260540844,5,2
Fail,BELLI'S CHICAGO,2876915,12/09/2022,Restaurant,1,60608,41.85660309023907,-87.66240774942376,6,2
Pass,MENTA ACADEMY CHICAGO WEST,3931156,12/09/2022,School,2,60612,41.87361695443468,-87.70296158115463,1,0
Fail,O'TOOLE ELEMENTARY,24801,12/09/2022,School,1,60636,41.77418952308684,-87.67513395234919,4,1
Pass,BASKIN ROBBINS/ DUNKIN DONUTS,45960,12/09/2022,Restaurant,2,60634,41.93602793813531,-87.76626204640748,8,0
Pass,McDONALD'S,1969968,12/09/2022,Restaurant,2,60603,41.88138628442378,-87.63071954393341,3,0
Pass,MCDONALDS,1445833,12/09/2022,Restaurant,2,60653,41.80962869787754,-87.60736973785798,9,0
Pass,STARBUCKS COFFEE #211,23015,12/09/2022,Restaurant,2,60606,41.88053924995021,-87.63459246351388,0,0
Pass,LAA-MUSHKILA RESTAURANT,2630707,12/09/2022,Restaurant,1,60660,41.996072555837806,-87.67035563206306,20,2
Fail,DO-RITE DONUTS & CHICKEN,2621370,12/09/2022,Restaurant,1,60613,41.94711653707501,-87.65545987326549,5,1
Pass,DOMINO'S PIZZA,37507,12/09/2022,Restaurant,2,60660,41.98880582200982,-87.67003676349547,13,3
Fail,LUCIANO'S GROCERY-18TH ST,1380524,12/09/2022,Grocery Store,1,60608,41.857856567514325,-87.66941959556328,19,8
Pass,ST. NICHOLAS CATHEDRAL,2225381,12/09/2022,School,1,60622,41.896855157448535,-87.68209952456876,2,0
Fail,FOXTROT,2808217,12/09/2022,Restaurant,2,60610,41.90176190733117,-87.6293413001706,4,2
Pass,NORTH AVE BP,2882317,12/09/2022,Grocery Store,3,60647,41.91023144343532,-87.70606313802638,2,0
Pass,7 DAYS RESTAURANT,2192658,12/10/2012,Restaurant,1,60620,41.724809224398726,-87.6431577606974,0,0
Pass,ST. ANNA BAKERY,2233026,12/10/2015,Bakery,1,60616,41.853338800569915,-87.634105879639,0,0
Pass,"VHC LOWER, LLC",2314275,12/11/2014,Restaurant,1,60601,41.885828292802344,-87.62613826248786,0,0
Fail,SEVEN,1304863,12/11/2019,Restaurant,1,60601,41.8846463654345,-87.61724849623945,15,6
Pass,WENDY'S,2636249,12/12/2019,Restaurant,1,60620,41.734880618955415,-87.6255519405575,3,0
Pass,ROBERT N. DETT ELEMENTARY,3283634,12/12/2019,School,1,60612,41.87984242005669,-87.68031236344497,5,2
Pass,SANDARBAN'S FISH BAR,2437109,12/12/2022,Grocery Store,2,60659,41.99792158092283,-87.68507479988922,3,0
Pass,LA COCINA,2578506,12/12/2022,Restaurant,1,60606,41.88561956437383,-87.6342757124693,8,2
Pass,MI TIERRA SOUTH RESTAURANT,2442794,12/12/2022,Restaurant,1,60623,41.845451414064215,-87.70521428516844,5,1
Fail,HILTON GARDEN INN/ CANOPY,2802942,12/12/2022,Restaurant,1,60606,41.87822032159353,-87.6345238791842,11,5
Pass,SUBWAY,1517669,12/12/2022,Restaurant,1,60652,41.73646852813947,-87.70219284070593,7,0
Pass,SHREE RUNG ROSCOE INC.,1841264,12/12/2022,Restaurant,2,60634,41.94146315134617,-87.80672278635326,1,0
Pass,LA CIENEGA SUPER FOOD INC,65173,12/12/2022,Grocery Store,1,60617,41.69981484646695,-87.53542689048246,4,0
Pass,STEPHEN DECATUR ELEMENTARY SCHOOL,29031,12/12/2022,School,1,60645,42.00930696073689,-87.70465502158962,0,0
Pass,MCDONALDS,1443878,12/12/2022,Restaurant,2,60660,41.99549427944373,-87.6602863708148,3,1
Fail,CARNICERIA LA GLORIA,2749089,12/12/2022,Grocery Store,1,60632,41.80096927632034,-87.68872209871739,20,3
Fail,DOUBLE BUBBLE,6539,12/12/2022,Restaurant,1,60660,41.99191242477542,-87.66047396631802,23,5
Pass,LA TORTA CHILANGA,2320536,12/12/2022,Restaurant,1,60608,41.85221316094893,-87.68039534069054,28,5
Pass,Jensen,29341,12/12/2022,School,1,60612,41.8738423887603,-87.70224148665832,0,0
Pass,OWEN & ENGINE,2009116,12/12/2022,Restaurant,1,60647,41.930439804510335,-87.68799105379475,10,2
Pass,GOOD SHEPHERD CHRISTIAN ACADEMY,3808691,12/12/2022,School,3,60647,41.922832100620326,-87.72106220348968,0,0
Pass,MARIANO'S FRESH MARKET #8507,2163771,12/12/2022,Grocery Store,1,60630,41.97871026437728,-87.75715377204163,7,0
Pass,BELLI'S CHICAGO,2876915,12/12/2022,Restaurant,1,60608,41.85660309023907,-87.66240774942376,6,2
Pass,"WENDY'S PROPERTIES,LLC",2405944,12/12/2022,Restaurant,1,60617,41.681055835937165,-87.53825067639677,0,0
Fail,Phillip  Rogers Elementary School,25141,12/12/2022,School,1,60645,42.01526617827283,-87.69714857619496,7,1
Pass,MCDONALDS,84425,12/12/2022,Restaurant,2,60641,41.93918260682479,-87.72876043531848,3,1
Pass,GOMEZ TACOS REST,17434,12/12/2022,Restaurant,1,60617,41.73019682889687,-87.55047439684799,4,0
Fail,BUFFET CITY,2308673,12/12/2022,Restaurant,1,60629,41.765584219649504,-87.72258228620703,10,2
Fail,LA PALMA SUPERMERCADO,2601224,12/12/2022,Grocery Store,1,60632,41.81757930768816,-87.69832058630668,19,5
Fail,Madison,24301,12/12/2022,School,2,60619,41.759552241669525,-87.5906758201986,3,2
